"Year","Sp1Cover","Sp2Cover","Sp3Cover","Sp4Cover","Sp5Cover","Sp6Cover","Sp7Cover","Sp8Cover","Sp9Cover","Sp10Cover","Sp11Cover","Sp12Cover","MacroalgaeCover","TurfCover","CCACover","AMACover","ACACover","HalimedaCover","CoverSand","Event","CommunityNumber","tick","run","random_seed"
0.0,3.2344444444444447,2.1255555555555556,8.026666666666667,1.9833333333333334,1.8066666666666669,0.8044444444444444,0.45333333333333337,0.5411111111111111,0.0,0.0,0.0,0.0,0.6211111111111111,47.102222222222224,11.792222222222222,6.417777777777777,0.7633333333333333,0.0,2.4955555555555557,"initial_count",1,1.0,1,1793329415
0.25,3.231111111111111,2.06,8.093333333333334,2.002222222222222,0.5644444444444444,0.8022222222222222,0.5222222222222221,0.5566666666666666,0.0,0.0,0.0,0.0,0.7722222222222223,47.45444444444444,10.613333333333333,6.833333333333333,0.9777777777777777,0.0,1.778888888888889,"end_season",1,5.0,1,1793329415
0.5,3.827777777777778,1.9877777777777779,8.542222222222222,1.9788888888888891,0.24,2.17,1.2666666666666666,0.5677777777777778,0.0,0.0,0.013333333333333334,0.0,0.9166666666666666,49.004444444444445,7.782222222222222,7.045555555555555,0.9199999999999999,0.0,1.6500000000000001,"end_season",1,9.0,1,1793329415
0.75,3.09,1.5466666666666666,6.906666666666666,1.9744444444444442,0.3088888888888889,3.2233333333333336,2.008888888888889,0.5455555555555556,0.0,0.0,0.023333333333333334,0.0,1.3455555555555556,49.95111111111111,5.262222222222222,7.6866666666666665,0.9277777777777777,0.0,1.6733333333333333,"end_season",1,13.0,1,1793329415
1.0,1.9777777777777776,0.8155555555555555,4.771111111111112,1.8277777777777777,0.30333333333333334,2.8277777777777775,2.1144444444444446,0.2011111111111111,0.0,0.0,0.015555555555555557,0.0,2.0366666666666666,51.961111111111116,3.5922222222222224,8.58,1.2444444444444445,0.0,2.1333333333333333,"end_season",1,17.0,1,1793329415
1.25,2.187777777777778,0.6855555555555556,4.087777777777777,1.6022222222222222,0.5044444444444445,3.0455555555555556,2.7422222222222223,0.15777777777777777,0.0,0.0,0.012222222222222221,0.0,2.884444444444444,51.306666666666665,2.194444444444444,9.875555555555556,1.3622222222222222,0.0,2.1333333333333333,"end_season",1,21.0,1,1793329415
1.5,1.672222222222222,0.9366666666666668,4.8966666666666665,1.3577777777777778,0.5755555555555556,3.2844444444444445,3.2300000000000004,0.3022222222222222,0.0,0.0,0.012222222222222221,0.0,3.805555555555556,52.556666666666665,1.2322222222222223,11.025555555555556,1.26,0.0,2.603333333333333,"end_season",1,25.0,1,1793329415
1.75,0.5433333333333333,0.5133333333333333,2.891111111111111,1.031111111111111,0.5288888888888889,2.6766666666666667,2.9044444444444446,0.08888888888888889,0.0,0.0,0.011111111111111112,0.0,4.668888888888889,53.63777777777777,0.7355555555555555,12.33888888888889,1.307777777777778,0.0,2.6066666666666665,"end_season",1,29.0,1,1793329415
2.0,0.3011111111111111,0.20666666666666667,1.6677777777777778,0.7544444444444445,0.5166666666666666,1.8744444444444446,1.8800000000000001,0.06555555555555556,0.0,0.0,0.016666666666666666,0.0,5.56,53.88222222222222,0.6233333333333333,13.523333333333335,1.4244444444444444,0.0,1.7988888888888888,"end_season",1,33.0,1,1793329415
2.25,0.6911111111111111,0.2988888888888889,2.41,0.7444444444444445,0.9355555555555556,4.314444444444445,3.4166666666666665,0.07333333333333333,0.0,0.0,0.023333333333333334,0.0,2.0733333333333333,13.122222222222222,0.5322222222222223,7.7011111111111115,0.5733333333333334,0.0,1.808888888888889,"end_season",1,37.0,1,1793329415
2.5,0.8855555555555555,0.36777777777777776,2.8255555555555554,0.7266666666666667,1.9244444444444446,9.024444444444445,5.737777777777778,0.09,0.0,0.0,0.028888888888888888,0.0,1.6033333333333333,11.982222222222221,0.67,7.945555555555556,0.5277777777777778,0.0,1.2044444444444444,"end_season",1,41.0,1,1793329415
2.75,0.5688888888888889,0.09444444444444444,0.1522222222222222,0.06444444444444444,0.7055555555555555,4.564444444444445,3.1433333333333335,0.03777777777777778,0.0,0.0,0.0,0.0,4.544444444444444,46.525555555555556,1.008888888888889,19.497777777777777,1.031111111111111,0.0,1.2266666666666668,"end_season",1,45.0,1,1793329415
3.0,0.07777777777777778,0.05444444444444444,0.021111111111111112,0.014444444444444444,0.26111111111111107,1.6688888888888889,1.04,0.012222222222222221,0.0,0.0,0.0,0.0,5.065555555555556,50.41,0.8055555555555556,21.67888888888889,1.2466666666666666,0.0,1.6833333333333331,"end_season",1,49.0,1,1793329415
3.25,0.034444444444444444,0.05444444444444444,0.7922222222222223,0.006666666666666667,0.3822222222222222,1.8311111111111111,0.88,0.027777777777777776,0.0,0.0,0.0,0.0,4.9,45.623333333333335,0.5666666666666667,21.54888888888889,1.208888888888889,0.0,1.6888888888888887,"end_season",1,53.0,1,1793329415
3.5,0.023333333333333334,0.043333333333333335,0.5499999999999999,0.0,0.4,1.8966666666666667,0.7322222222222222,0.027777777777777776,0.0,0.0,0.0,0.0,4.897777777777778,46.23111111111111,0.48111111111111116,21.633333333333333,1.211111111111111,0.0,2.141111111111111,"end_season",1,57.0,1,1793329415
3.75,0.016666666666666666,0.03,0.5977777777777779,0.0,0.84,4.921111111111111,0.6844444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,2.792222222222222,21.36111111111111,0.4988888888888889,15.953333333333333,0.8166666666666665,0.0,2.134444444444444,"end_season",1,61.0,1,1793329415
4.0,0.007777777777777778,0.02666666666666667,0.5655555555555555,0.0,1.0877777777777777,6.45,0.7844444444444444,0.09111111111111111,0.0,0.0,0.0,0.0,2.6533333333333333,20.9,0.7622222222222222,15.963333333333333,0.8077777777777777,0.0,0.6744444444444444,"end_season",1,65.0,1,1793329415
4.25,0.006666666666666667,0.024444444444444442,0.4066666666666666,0.0,0.9344444444444445,6.756666666666666,0.7911111111111112,0.12222222222222222,0.0,0.0,0.0,0.0,3.172222222222222,29.4,0.9822222222222222,19.73888888888889,0.9844444444444443,0.0,0.6888888888888889,"end_season",1,69.0,1,1793329415
